date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-05-17-12:08:35,339198,6866,19563403,1046,0.9802,0.9969,0.9885,19910513,23.54
2025-05-17-12:08:59,340651,4144,21574702,562,0.988,0.9984,0.9931,21920059,22.699
2025-05-17-12:09:22,283838,4247,21778559,673,0.9853,0.9976,0.9914,22067317,22.636
2025-05-17-12:09:47,297429,5109,19404659,652,0.9831,0.9978,0.9904,19707849,22.774
2025-05-17-12:10:11,333672,4372,23781209,713,0.9871,0.9979,0.9924,24119966,22.977
2025-05-17-12:10:35,342943,3558,21881143,564,0.9897,0.9984,0.994,22228208,23.169
2025-05-17-12:10:59,345585,3535,20125391,399,0.9899,0.9988,0.9943,20474910,22.954
2025-05-17-12:11:23,303678,2611,19931076,290,0.9915,0.999,0.9952,20237655,22.973
2025-05-17-12:11:47,339858,2385,21636398,229,0.993,0.9993,0.9962,21978870,22.841
2025-05-17-12:12:11,364382,2029,21475276,203,0.9945,0.9994,0.9969,21841890,23.009
2025-05-17-12:12:35,323262,2294,21051405,209,0.993,0.9994,0.9961,21377170,22.979
2025-05-17-12:12:59,265806,1589,22746784,176,0.9941,0.9993,0.9967,23014355,23.073
2025-05-17-12:13:23,339254,2326,19625666,317,0.9932,0.9991,0.9961,19967563,23.033
2025-05-17-12:13:47,298668,2358,20762824,261,0.9922,0.9991,0.9956,21064111,22.973
2025-05-17-12:14:11,333634,1787,20438313,175,0.9947,0.9995,0.9971,20773909,23.095
2025-05-17-12:14:35,321867,1720,21422811,536,0.9947,0.9983,0.9965,21746934,23.023
2025-05-17-12:14:59,298050,1780,20228258,135,0.9941,0.9995,0.9968,20528223,22.99
2025-05-17-12:15:23,300620,1446,22588094,254,0.9952,0.9992,0.9972,22890414,23.186
2025-05-17-12:15:47,282496,1708,21894769,361,0.994,0.9987,0.9964,22179334,22.873
2025-05-17-12:16:11,336322,2296,20844318,210,0.9932,0.9994,0.9963,21183146,23.097
2025-05-17-12:16:35,303133,1659,17496522,266,0.9946,0.9991,0.9968,17801580,22.819
2025-05-17-12:16:59,281741,1372,21391839,125,0.9952,0.9996,0.9974,21675077,22.883
2025-05-17-12:17:23,311851,1968,22310221,273,0.9937,0.9991,0.9964,22624313,22.778
2025-05-17-12:17:47,310563,1630,21548008,162,0.9948,0.9995,0.9971,21860363,23.031
2025-05-17-12:18:11,325200,1810,17717775,219,0.9945,0.9993,0.9969,18045004,22.941
2025-05-17-12:18:35,304080,1578,19719650,221,0.9948,0.9993,0.9971,20025529,23.096
2025-05-17-12:18:59,309402,2086,20695490,224,0.9933,0.9993,0.9963,21007202,22.954
2025-05-17-12:19:23,319460,1341,21053441,177,0.9958,0.9994,0.9976,21374419,23.097
2025-05-17-12:19:47,335366,1334,23156313,180,0.996,0.9995,0.9977,23493193,23.127
2025-05-17-12:20:11,310246,1853,22178188,158,0.9941,0.9995,0.9968,22490445,23.06
2025-05-17-12:20:35,338579,1442,21003061,169,0.9958,0.9995,0.9976,21343251,22.868
2025-05-17-12:20:59,321878,1549,22939211,176,0.9952,0.9995,0.9973,23262814,22.904
2025-05-17-12:21:23,347587,1422,23285542,159,0.9959,0.9995,0.9977,23634710,23.027
2025-05-17-12:21:47,324262,1489,19819111,151,0.9954,0.9995,0.9975,20145013,22.98
2025-05-17-12:22:11,302343,1675,22094599,199,0.9945,0.9993,0.9969,22398816,22.967
2025-05-17-12:22:35,329182,1228,21983235,179,0.9963,0.9995,0.9979,22313824,22.924
2025-05-17-12:22:59,294527,1857,20362293,140,0.9937,0.9995,0.9966,20658817,22.96
2025-05-17-12:23:23,343329,1742,21138913,219,0.995,0.9994,0.9972,21484203,23.024
2025-05-17-12:23:47,281112,1145,23053126,135,0.9959,0.9995,0.9977,23335518,22.778
2025-05-17-12:24:11,284883,1332,23178805,165,0.9953,0.9994,0.9974,23465185,22.832
2025-05-17-12:24:35,291248,10477,18878952,3693,0.9653,0.9875,0.9763,19184370,23.525
2025-05-17-12:24:59,365676,8613,19241859,2246,0.977,0.9939,0.9854,19618394,22.956
2025-05-17-12:25:23,329839,9013,21257380,1315,0.9734,0.996,0.9846,21597547,23.039
2025-05-17-12:25:47,339753,7529,21121901,2020,0.9783,0.9941,0.9861,21471203,22.758
2025-05-17-12:26:11,333768,6333,22626510,912,0.9814,0.9973,0.9893,22967523,22.989
2025-05-17-12:26:35,299987,5790,18079113,801,0.9811,0.9973,0.9891,18385691,23.239
2025-05-17-12:26:59,334055,4152,20718620,818,0.9877,0.9976,0.9926,21057645,22.94
2025-05-17-12:27:23,336654,3398,18783658,486,0.99,0.9986,0.9943,19124196,23.165
2025-05-17-12:27:47,290883,2012,18441855,405,0.9931,0.9986,0.9959,18735155,22.725
2025-05-17-12:28:11,347921,2747,20148752,294,0.9922,0.9992,0.9956,20499714,22.928
2025-05-17-12:28:35,326750,2700,22963201,264,0.9918,0.9992,0.9955,23292915,23.019
2025-05-17-12:28:59,284863,2552,19681678,396,0.9911,0.9986,0.9949,19969489,23.053
2025-05-17-12:29:23,301084,2019,20338575,382,0.9933,0.9987,0.996,20642060,22.731
2025-05-17-12:29:47,286953,2296,20820050,304,0.9921,0.9989,0.9955,21109603,23.196
2025-05-17-12:30:11,301920,1847,21772879,348,0.9939,0.9988,0.9964,22076994,23.023
2025-05-17-12:30:35,356821,2406,19702662,390,0.9933,0.9989,0.9961,20062279,23.172
2025-05-17-12:30:59,289559,2667,20721491,231,0.9909,0.9992,0.995,21013948,22.967
2025-05-17-12:31:23,385035,2676,18569290,590,0.9931,0.9985,0.9958,18957591,23.088
2025-05-17-12:31:47,368118,2816,21652466,447,0.9924,0.9988,0.9956,22023847,23.135
2025-05-17-12:32:11,323515,1985,19923226,476,0.9939,0.9985,0.9962,20249202,23.014
2025-05-17-12:32:35,321347,1945,20351035,251,0.994,0.9992,0.9966,20674578,22.752
2025-05-17-12:32:59,287201,1772,18891475,175,0.9939,0.9994,0.9966,19180623,23.169
2025-05-17-12:33:23,319758,1424,22215802,209,0.9956,0.9993,0.9975,22537193,22.872
2025-05-17-12:33:47,357023,1844,18867367,258,0.9949,0.9993,0.9971,19226492,22.925
2025-05-17-12:34:11,338187,1500,21025071,219,0.9956,0.9994,0.9975,21364977,23.04
2025-05-17-12:34:35,320360,1675,19415195,174,0.9948,0.9995,0.9971,19737404,23.066
2025-05-17-12:35:00,288000,1121,19990094,129,0.9961,0.9996,0.9978,20279344,23.192
2025-05-17-12:35:24,274269,2975,21191453,527,0.9893,0.9981,0.9937,21469224,23.068
2025-05-17-12:35:48,316992,3379,19663836,358,0.9895,0.9989,0.9941,19984565,22.891
2025-05-17-12:36:12,288375,2717,23103417,391,0.9907,0.9986,0.9946,23394900,23.09
2025-05-17-12:36:36,334275,2276,18425567,392,0.9932,0.9988,0.996,18762510,23.128
2025-05-17-12:37:00,333761,3878,18566909,642,0.9885,0.9981,0.9933,18905190,23.03
2025-05-17-12:37:24,282064,3988,23534141,639,0.9861,0.9977,0.9919,23820832,23.469
2025-05-17-12:37:48,339984,5642,17953877,1739,0.9837,0.9949,0.9893,18301242,22.913
2025-05-17-12:38:12,330139,3995,20620396,1388,0.988,0.9958,0.9919,20955918,22.844
2025-05-17-12:38:36,294149,4940,19525386,1349,0.9835,0.9954,0.9894,19825824,23.158
2025-05-17-12:39:00,316615,4054,19910448,620,0.9874,0.998,0.9927,20231737,23.187
2025-05-17-12:39:24,308011,3987,19892241,596,0.9872,0.9981,0.9926,20204835,23.123
2025-05-17-12:39:48,291938,3619,18756227,595,0.9878,0.998,0.9928,19052379,22.767
2025-05-17-12:40:12,295716,1895,20155509,297,0.9936,0.999,0.9963,20453417,22.962
2025-05-17-12:40:36,276569,2756,19093707,501,0.9901,0.9982,0.9941,19373533,22.971
2025-05-17-12:41:00,296354,2435,20325148,308,0.9919,0.999,0.9954,20624245,23.051
2025-05-17-12:41:24,371090,2740,20022277,329,0.9927,0.9991,0.9959,20396436,23.076
2025-05-17-12:41:48,316738,1990,19418718,259,0.9938,0.9992,0.9965,19737705,23.013
2025-05-17-12:42:12,296231,1905,20254582,372,0.9936,0.9987,0.9962,20553090,23.036
2025-05-17-12:42:36,299415,1864,19610892,246,0.9938,0.9992,0.9965,19912417,23.107
2025-05-17-12:43:00,342537,2037,18285036,233,0.9941,0.9993,0.9967,18629843,23.046
2025-05-17-12:43:24,311148,1783,19429815,248,0.9943,0.9992,0.9967,19742994,23.08
2025-05-17-12:43:48,329961,1475,19345916,186,0.9955,0.9994,0.9975,19677538,23.086
2025-05-17-12:44:13,277697,10739,17860532,4161,0.9628,0.9852,0.9739,18153129,23.354
2025-05-17-12:44:37,305167,9854,16805621,2367,0.9687,0.9923,0.9804,17123009,23.019
2025-05-17-12:45:01,341751,8339,19170321,1060,0.9762,0.9969,0.9864,19521471,22.966
2025-05-17-12:45:25,367625,5697,17656196,714,0.9847,0.9981,0.9914,18030232,23.208
2025-05-17-12:45:48,364554,5339,17462402,645,0.9856,0.9982,0.9919,17832940,22.643
2025-05-17-12:46:12,321052,2722,16217865,406,0.9916,0.9987,0.9952,16542045,23.103
2025-05-17-12:46:36,365387,2959,20474616,346,0.992,0.9991,0.9955,20843308,22.811
2025-05-17-12:47:00,348271,2705,19609530,285,0.9923,0.9992,0.9957,19960791,23.037
2025-05-17-12:47:24,308693,2523,17441074,317,0.9919,0.999,0.9954,17752607,22.961
2025-05-17-12:47:48,328338,2286,17628172,322,0.9931,0.999,0.996,17959118,22.893
2025-05-17-12:48:12,344456,1730,18292210,283,0.995,0.9992,0.9971,18638679,23.275
2025-05-17-12:48:36,326613,2373,19976034,275,0.9928,0.9992,0.996,20305295,23.342
2025-05-17-12:49:00,316596,2626,19370416,541,0.9918,0.9983,0.995,19690179,23.015
2025-05-17-12:49:24,309521,2480,18766290,314,0.9921,0.999,0.9955,19078605,22.959
2025-05-17-12:49:48,333909,2129,19091097,466,0.9937,0.9986,0.9961,19427601,22.838
2025-05-17-12:50:12,290387,3664,19518539,485,0.9875,0.9983,0.9929,19813075,22.907
2025-05-17-12:50:36,271023,2301,20239743,241,0.9916,0.9991,0.9953,20513308,23.028
2025-05-17-12:51:00,363041,2244,17352657,259,0.9939,0.9993,0.9966,17718201,23.026
2025-05-17-12:51:24,320151,1843,18010696,274,0.9943,0.9991,0.9967,18332964,23.124
2025-05-17-12:51:48,329507,2321,17055503,268,0.993,0.9992,0.9961,17387599,22.987
2025-05-17-12:52:13,349892,1936,20029415,185,0.9945,0.9995,0.997,20381428,23.088
2025-05-17-12:52:37,353354,1966,17793999,304,0.9945,0.9991,0.9968,18149623,23.161
2025-05-17-12:53:01,314963,2311,17251873,347,0.9927,0.9989,0.9958,17569494,23.161
2025-05-17-12:53:25,311538,2372,17873010,256,0.9924,0.9992,0.9958,18187176,23.148
2025-05-17-12:53:49,385150,1937,19297732,262,0.995,0.9993,0.9972,19685081,23.074
2025-05-17-12:54:13,329753,1846,19994615,311,0.9944,0.9991,0.9967,20326525,22.9
2025-05-17-12:54:37,315890,1559,18280189,227,0.9951,0.9993,0.9972,18597865,22.986
2025-05-17-12:55:01,356092,1868,17924081,184,0.9948,0.9995,0.9971,18282225,23.055
2025-05-17-12:55:25,276062,1544,16937417,336,0.9944,0.9988,0.9966,17215359,22.855
2025-05-17-12:55:49,339796,2169,18065092,220,0.9937,0.9994,0.9965,18407277,22.92
2025-05-17-12:56:13,339570,1731,20567466,121,0.9949,0.9996,0.9973,20908888,23.006
2025-05-17-12:56:37,299373,1646,21093798,168,0.9945,0.9994,0.997,21394985,22.877
2025-05-17-12:57:01,350010,1657,19086926,330,0.9953,0.9991,0.9972,19438923,22.963
2025-05-17-12:57:25,320820,1919,19351249,138,0.9941,0.9996,0.9968,19674126,22.844
2025-05-17-12:57:49,334174,1748,17034950,194,0.9948,0.9994,0.9971,17371066,23.107
2025-05-17-12:58:13,313562,1242,19746684,192,0.9961,0.9994,0.9977,20061680,22.9
2025-05-17-12:58:37,366432,1453,16950850,222,0.9961,0.9994,0.9977,17318957,23.008
2025-05-17-12:59:01,308952,1334,18919899,249,0.9957,0.9992,0.9974,19230434,23.031
2025-05-17-12:59:25,310906,1179,20286405,141,0.9962,0.9995,0.9979,20598631,22.878
2025-05-17-12:59:49,317152,1857,19522066,339,0.9942,0.9989,0.9965,19841414,22.877
2025-05-17-13:00:13,314012,1412,18433732,414,0.9955,0.9987,0.9971,18749570,22.971
2025-05-17-13:00:37,325126,1487,17406370,168,0.9954,0.9995,0.9975,17733151,23.084
2025-05-17-13:01:01,291646,1527,20178521,201,0.9948,0.9993,0.997,20471895,22.884
2025-05-17-13:01:25,353432,1333,19073642,174,0.9962,0.9995,0.9979,19428581,23.092
2025-05-17-13:01:49,329100,1999,19066085,155,0.994,0.9995,0.9967,19397339,23.071
2025-05-17-13:02:13,318755,1530,19728451,252,0.9952,0.9992,0.9972,20048988,23.03
2025-05-17-13:02:37,317144,1786,17967466,168,0.9944,0.9995,0.9969,18286564,22.934
2025-05-17-13:03:01,310891,1673,18395699,288,0.9946,0.9991,0.9969,18708551,22.92
2025-05-17-13:03:25,319614,2648,18235955,178,0.9918,0.9994,0.9956,18558395,22.908
2025-05-17-13:03:49,282923,1620,18490611,161,0.9943,0.9994,0.9969,18775315,22.972
2025-05-17-13:04:13,302600,1238,19578710,299,0.9959,0.999,0.9975,19882847,23.017
2025-05-17-13:04:37,362610,2120,18573180,295,0.9942,0.9992,0.9967,18938205,22.946
