date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-05-14-13:19:54,214240,2394,245972,103,0.9889,0.9995,0.9942,462709,22.711
2025-05-14-13:20:17,232778,2066,273514,141,0.9912,0.9994,0.9953,508499,22.668
2025-05-14-13:20:39,230540,1828,264062,130,0.9921,0.9994,0.9958,496560,22.597
2025-05-14-13:21:02,217577,1980,256662,136,0.991,0.9994,0.9952,476355,22.488
2025-05-14-13:21:25,219501,1763,256110,85,0.992,0.9996,0.9958,477459,22.878
2025-05-14-13:21:48,218485,1873,254866,142,0.9915,0.9994,0.9954,475366,22.9
2025-05-14-13:22:11,211871,1481,262659,138,0.9931,0.9993,0.9962,476149,22.734
2025-05-14-13:22:34,216092,1625,255654,114,0.9925,0.9995,0.996,473485,22.658
2025-05-14-13:22:57,209877,1368,244596,71,0.9935,0.9997,0.9966,455912,22.536
2025-05-14-13:23:20,202569,1516,269936,69,0.9926,0.9997,0.9961,474090,22.819
2025-05-14-13:23:43,208976,1403,250328,110,0.9933,0.9995,0.9964,460817,22.699
2025-05-14-13:24:06,220040,1912,259090,78,0.9914,0.9996,0.9955,481120,22.771
2025-05-14-13:24:29,219264,1290,273631,124,0.9942,0.9994,0.9968,494309,22.917
2025-05-14-13:24:52,222308,1460,276894,85,0.9935,0.9996,0.9965,500747,22.581
2025-05-14-13:25:15,213986,1448,239826,111,0.9933,0.9995,0.9964,455371,22.828
2025-05-14-13:25:38,227646,1386,262613,52,0.9939,0.9998,0.9969,491697,22.664
2025-05-14-13:26:01,203846,1060,247819,83,0.9948,0.9996,0.9972,452808,23.23
2025-05-14-13:26:24,205773,1390,234469,108,0.9933,0.9995,0.9964,441740,22.834
2025-05-14-13:26:48,218703,1492,262378,141,0.9932,0.9994,0.9963,482714,22.854
2025-05-14-13:27:11,219644,1542,248867,82,0.993,0.9996,0.9963,470135,22.862
2025-05-14-13:27:34,206445,975,256017,57,0.9953,0.9997,0.9975,463494,22.65
2025-05-14-13:27:57,205478,1281,242887,85,0.9938,0.9996,0.9967,449731,22.816
2025-05-14-13:28:20,200053,1081,254231,55,0.9946,0.9997,0.9972,455420,22.913
2025-05-14-13:28:43,202880,1020,252228,90,0.995,0.9996,0.9973,456218,22.604
2025-05-14-13:29:06,206786,1076,222569,80,0.9948,0.9996,0.9972,430511,22.808
2025-05-14-13:29:29,208148,991,244358,63,0.9953,0.9997,0.9975,453560,22.472
