date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-05-19-11:32:29,328582,103325,16095339,23598,0.7608,0.933,0.8381,16550844,24.915
2025-05-19-11:32:54,363369,79768,13556114,15155,0.82,0.96,0.8845,14014406,23.656
2025-05-19-11:33:19,343073,45336,16511356,6826,0.8833,0.9805,0.9293,16906591,24.069
2025-05-19-11:33:44,375069,32143,17572424,3307,0.9211,0.9913,0.9549,17982943,23.608
2025-05-19-11:34:09,372182,27187,15920924,4235,0.9319,0.9887,0.9595,16324528,23.819
2025-05-19-11:34:34,354147,19427,15939445,4473,0.948,0.9875,0.9674,16317492,23.117
2025-05-19-11:34:58,347606,22768,15317621,2927,0.9385,0.9916,0.9644,15690922,23.567
2025-05-19-11:35:23,340358,14005,14704115,2429,0.9605,0.9929,0.9764,15060907,23.334
2025-05-19-11:35:49,344910,12560,17448637,1388,0.9649,0.996,0.9802,17807495,24.765
2025-05-19-11:36:15,351609,12003,16131766,1824,0.967,0.9948,0.9807,16497202,24.76
2025-05-19-11:36:41,362816,16492,15369957,2769,0.9565,0.9924,0.9741,15752034,24.995
2025-05-19-11:37:05,372216,10898,17407097,1865,0.9716,0.995,0.9831,17792076,22.862
2025-05-19-11:37:29,403485,12542,18013569,1621,0.9699,0.996,0.9828,18431217,22.979
2025-05-19-11:37:53,400307,9637,18278835,1550,0.9765,0.9961,0.9862,18690329,22.778
2025-05-19-11:38:17,342696,7397,19438376,1001,0.9789,0.9971,0.9879,19789470,22.992
2025-05-19-11:38:41,397509,8069,15871089,1072,0.9801,0.9973,0.9886,16277739,22.765
2025-05-19-11:39:05,383511,10018,14480902,1372,0.9745,0.9964,0.9854,14875803,22.919
2025-05-19-11:39:29,353785,8794,16152802,1077,0.9757,0.997,0.9862,16516458,22.802
2025-05-19-11:39:53,357873,5904,13140785,1010,0.9838,0.9972,0.9904,13505572,22.739
2025-05-19-11:40:17,357820,6840,15891763,805,0.9812,0.9978,0.9894,16257228,22.656
2025-05-19-11:40:41,404259,6698,16460290,1032,0.9837,0.9975,0.9905,16872279,22.887
2025-05-19-11:41:05,328334,7337,18398419,677,0.9781,0.9979,0.9879,18734767,22.789
2025-05-19-11:41:29,374258,5711,17109429,530,0.985,0.9986,0.9917,17489928,23.026
2025-05-19-11:41:53,352995,5704,17033600,852,0.9841,0.9976,0.9908,17393151,22.911
2025-05-19-11:42:17,338232,4770,18492083,701,0.9861,0.9979,0.992,18835786,22.931
2025-05-19-11:42:41,356000,6279,16572838,789,0.9827,0.9978,0.9902,16935906,22.643
2025-05-19-11:43:05,370146,5258,17456977,690,0.986,0.9981,0.992,17833071,23.106
2025-05-19-11:43:29,349935,4270,16587610,476,0.9879,0.9986,0.9933,16942291,22.787
2025-05-19-11:43:54,345600,4321,16987485,593,0.9877,0.9983,0.9929,17337999,23.071
2025-05-19-11:44:18,321860,28019,17462650,5183,0.9199,0.9842,0.951,17817712,23.504
2025-05-19-11:44:43,388860,20829,15143010,4033,0.9492,0.9897,0.969,15556732,23.512
2025-05-19-11:45:07,330849,17891,16033900,3019,0.9487,0.991,0.9694,16385659,22.669
2025-05-19-11:45:30,346892,18606,16786690,2494,0.9491,0.9929,0.9705,17154682,22.854
2025-05-19-11:45:54,332784,11986,17331784,1708,0.9652,0.9949,0.9798,17678262,22.665
2025-05-19-11:46:18,378434,8169,15261869,1509,0.9789,0.996,0.9874,15649981,23.038
2025-05-19-11:46:42,379729,7565,16079607,831,0.9805,0.9978,0.9891,16467732,22.754
2025-05-19-11:47:06,331262,7858,17556055,1040,0.9768,0.9969,0.9867,17896215,22.808
2025-05-19-11:47:30,329344,5859,18658765,937,0.9825,0.9972,0.9898,18994905,22.859
2025-05-19-11:47:54,367964,7398,17463661,918,0.9803,0.9975,0.9888,17839941,23.125
2025-05-19-11:48:18,333140,5701,14876518,654,0.9832,0.998,0.9906,15216013,23.015
2025-05-19-11:48:43,319675,5856,16476626,614,0.982,0.9981,0.99,16802771,23.75
2025-05-19-11:49:08,381593,7175,16214297,847,0.9815,0.9978,0.9896,16603912,23.911
2025-05-19-11:49:33,348836,6142,17007156,823,0.9827,0.9976,0.9901,17362957,24.058
2025-05-19-11:49:58,359324,6041,13787972,1058,0.9835,0.9971,0.9902,14154395,24.315
2025-05-19-11:50:25,354694,5914,16353883,554,0.9836,0.9984,0.991,16715045,25.146
2025-05-19-11:50:50,370937,6591,16751624,1170,0.9825,0.9969,0.9896,17130322,24.8
2025-05-19-11:51:16,294749,5676,17729971,741,0.9811,0.9975,0.9892,18031137,24.766
2025-05-19-11:51:43,393819,6035,16213820,648,0.9849,0.9984,0.9916,16614322,25.351
2025-05-19-11:52:10,353197,4339,16353404,592,0.9879,0.9983,0.9931,16711532,25.697
2025-05-19-11:52:36,378597,4753,17681837,479,0.9876,0.9987,0.9931,18065666,25.371
2025-05-19-11:53:02,326286,3594,15002030,446,0.9891,0.9986,0.9938,15332356,24.532
2025-05-19-11:53:28,326695,4370,15238037,416,0.9868,0.9987,0.9927,15569518,24.895
2025-05-19-11:53:54,387382,3206,17271226,405,0.9918,0.999,0.9954,17662219,24.589
2025-05-19-11:54:20,395617,4189,14625661,475,0.9895,0.9988,0.9941,15025942,25.584
2025-05-19-11:54:46,352506,4939,16013178,433,0.9862,0.9988,0.9924,16371056,24.335
2025-05-19-11:55:10,333995,3914,16117730,516,0.9884,0.9985,0.9934,16456155,23.533
2025-05-19-11:55:34,340876,3724,20107014,546,0.9892,0.9984,0.9938,20452160,23.104
2025-05-19-11:55:59,346975,3750,14151824,447,0.9893,0.9987,0.994,14502996,23.16
2025-05-19-11:56:23,382520,3460,14938858,463,0.991,0.9988,0.9949,15325301,23.148
2025-05-19-11:56:47,369940,4526,15054954,796,0.9879,0.9979,0.9929,15430216,23.106
2025-05-19-11:57:12,348826,4623,16535056,509,0.9869,0.9985,0.9927,16889014,23.145
2025-05-19-11:57:36,349814,3956,14538729,576,0.9888,0.9984,0.9936,14893075,23.324
2025-05-19-11:58:00,351818,4755,15300731,694,0.9867,0.998,0.9923,15657998,23.076
2025-05-19-11:58:25,360790,4939,16548034,644,0.9865,0.9982,0.9923,16914407,23.638
2025-05-19-11:58:50,346106,4980,15257483,650,0.9858,0.9981,0.9919,15609219,23.166
2025-05-19-11:59:14,322483,4123,15076118,401,0.9874,0.9988,0.993,15403125,23.027
2025-05-19-11:59:39,324556,2970,15933426,408,0.9909,0.9987,0.9948,16261360,23.519
2025-05-19-12:00:03,339078,3731,16897786,558,0.9891,0.9984,0.9937,17241153,23.312
2025-05-19-12:00:27,333818,2858,16447755,396,0.9915,0.9988,0.9951,16784827,23.101
2025-05-19-12:00:52,374673,3395,16529030,417,0.991,0.9989,0.9949,16907515,22.921
2025-05-19-12:01:17,360290,3903,13664602,353,0.9893,0.999,0.9941,14029148,23.983
2025-05-19-12:01:42,359273,3633,17545331,377,0.99,0.999,0.9945,17908614,23.503
2025-05-19-12:02:07,351215,3105,16961049,376,0.9912,0.9989,0.9951,17315745,23.814
2025-05-19-12:02:35,344438,4032,15138215,460,0.9884,0.9987,0.9935,15487145,27.186
2025-05-19-12:03:05,312887,4076,17675216,474,0.9871,0.9985,0.9928,17992653,28.53
2025-05-19-12:03:37,340126,3315,13379125,407,0.9903,0.9988,0.9946,13722973,28.852
2025-05-19-12:04:03,333105,3055,15764450,367,0.9909,0.9989,0.9949,16100977,24.786
2025-05-19-12:04:28,343230,2585,15358438,360,0.9925,0.999,0.9957,15704613,23.317
2025-05-19-12:04:52,322278,5869,18363695,830,0.9821,0.9974,0.9897,18692672,23.594
2025-05-19-12:05:17,362130,5403,17813698,784,0.9853,0.9978,0.9915,18182015,23.2
2025-05-19-12:05:41,326429,4261,15262797,397,0.9871,0.9988,0.9929,15593884,23.148
2025-05-19-12:06:05,300365,3109,15281564,433,0.9898,0.9986,0.9941,15585471,22.986
2025-05-19-12:06:30,345419,5322,18831054,574,0.9848,0.9983,0.9915,19182369,23.22
2025-05-19-12:06:55,337641,6248,13650556,613,0.9818,0.9982,0.9899,13995058,23.832
2025-05-19-12:07:20,291438,4094,14621077,460,0.9861,0.9984,0.9922,14917069,23.9
2025-05-19-12:07:45,348474,4081,16005323,436,0.9884,0.9988,0.9936,16358314,24.097
2025-05-19-12:08:12,384684,3124,14475732,343,0.9919,0.9991,0.9955,14863883,25.386
2025-05-19-12:08:37,333420,2939,15014665,393,0.9913,0.9988,0.995,15351417,23.86
2025-05-19-12:09:02,328168,3187,16463361,335,0.9904,0.999,0.9947,16795051,23.493
2025-05-19-12:09:27,365732,3324,14004471,417,0.991,0.9989,0.9949,14373944,23.997
2025-05-19-12:09:51,340085,4470,14963652,560,0.987,0.9984,0.9927,15308767,23.326
2025-05-19-12:10:16,327114,4363,15602429,510,0.9868,0.9984,0.9926,15934416,23.835
2025-05-19-12:10:42,354591,3753,17170772,475,0.9895,0.9987,0.9941,17529591,23.922
2025-05-19-12:11:06,316440,2904,14572435,329,0.9909,0.999,0.9949,14892108,23.263
2025-05-19-12:11:31,335036,3226,16150852,333,0.9905,0.999,0.9947,16489447,23.867
2025-05-19-12:11:55,322179,2796,15914624,222,0.9914,0.9993,0.9953,16239821,22.978
2025-05-19-12:12:20,335811,3270,14177289,321,0.9904,0.999,0.9947,14516691,22.99
2025-05-19-12:12:44,350178,2856,15402764,425,0.9919,0.9988,0.9953,15756223,23.137
2025-05-19-12:13:08,373055,2867,14124817,248,0.9924,0.9993,0.9958,14500987,22.883
2025-05-19-12:13:32,338673,3332,16348924,340,0.9903,0.999,0.9946,16691269,23.024
2025-05-19-12:13:58,387099,2676,16244710,331,0.9931,0.9991,0.9961,16634816,24.137
2025-05-19-12:14:22,362825,3524,14977953,496,0.9904,0.9986,0.9945,15344798,23.377
2025-05-19-12:14:46,316917,2391,15048060,286,0.9925,0.9991,0.9958,15367654,23.067
2025-05-19-12:15:11,300302,2623,14931328,269,0.9913,0.9991,0.9952,15234522,23.045
2025-05-19-12:15:35,375409,2789,15147300,391,0.9926,0.999,0.9958,15525889,23.098
2025-05-19-12:15:59,345589,2631,16786688,256,0.9924,0.9993,0.9958,17135164,22.957
2025-05-19-12:16:24,324982,2240,16704888,270,0.9932,0.9992,0.9962,17032380,23.469
2025-05-19-12:16:48,321021,2140,15558823,243,0.9934,0.9992,0.9963,15882227,22.883
2025-05-19-12:17:13,333001,2375,14482046,190,0.9929,0.9994,0.9962,14817612,23.604
2025-05-19-12:17:37,312609,1991,13510999,190,0.9937,0.9994,0.9965,13825789,22.787
2025-05-19-12:18:01,304888,2653,15272760,243,0.9914,0.9992,0.9953,15580544,23.565
2025-05-19-12:18:27,314528,2304,16225049,364,0.9927,0.9988,0.9958,16542245,24.469
2025-05-19-12:18:57,341188,2309,15179898,268,0.9933,0.9992,0.9962,15523663,28.067
2025-05-19-12:19:25,326560,2593,12046226,268,0.9921,0.9992,0.9956,12375647,27.417
2025-05-19-12:19:53,395073,2537,15063292,327,0.9936,0.9992,0.9964,15461229,26.198
2025-05-19-12:20:23,345623,2701,13311354,350,0.9922,0.999,0.9956,13660028,28.153
2025-05-19-12:21:09,294926,2689,15490294,357,0.991,0.9988,0.9949,15788266,44.814
2025-05-19-12:21:44,347259,2278,14551120,297,0.9935,0.9991,0.9963,14900954,32.858
2025-05-19-12:22:09,320840,3233,14980482,345,0.99,0.9989,0.9945,15304900,22.987
2025-05-19-12:22:33,353370,7162,16005412,963,0.9801,0.9973,0.9886,16366907,22.957
2025-05-19-12:22:58,325413,6421,15504245,964,0.9806,0.997,0.9888,15837043,23.79
2025-05-19-12:23:22,335415,5093,14566286,770,0.985,0.9977,0.9913,14907564,23.218
2025-05-19-12:23:47,346224,3796,16786433,368,0.9892,0.9989,0.994,17136821,24.044
2025-05-19-12:24:12,314183,3958,15716580,487,0.9876,0.9985,0.993,16035208,23.703
2025-05-19-12:24:37,335602,3099,15456847,372,0.9909,0.9989,0.9949,15795920,23.229
2025-05-19-12:25:02,331866,3186,14996550,288,0.9905,0.9991,0.9948,15331890,23.696
2025-05-19-12:25:26,342108,2511,14945877,348,0.9927,0.999,0.9958,15290844,23.448
2025-05-19-12:25:51,330591,2454,13676918,234,0.9926,0.9993,0.996,14010197,23.564
2025-05-19-12:26:17,324166,2717,16619841,317,0.9917,0.999,0.9953,16947041,24.984
2025-05-19-12:26:43,328866,2266,15904619,370,0.9932,0.9989,0.996,16236121,24.259
2025-05-19-12:27:08,320008,2426,13650404,278,0.9925,0.9991,0.9958,13973116,24.008
2025-05-19-12:27:34,345089,3246,12954961,336,0.9907,0.999,0.9948,13303632,24.432
2025-05-19-12:27:59,290661,2536,13578019,248,0.9914,0.9991,0.9952,13871464,23.781
2025-05-19-12:28:25,314471,2316,16609074,251,0.9927,0.9992,0.9959,16926112,24.177
2025-05-19-12:28:50,319972,2324,15271347,290,0.9928,0.9991,0.9959,15593933,24.233
2025-05-19-12:29:16,339927,2813,15603862,330,0.9918,0.999,0.9954,15946932,24.185
2025-05-19-12:29:42,358041,2450,15977166,214,0.9932,0.9994,0.9963,16337871,24.347
2025-05-19-12:30:07,322605,2321,14386826,237,0.9929,0.9993,0.9961,14711989,23.696
2025-05-19-12:30:39,316264,2286,15496966,338,0.9928,0.9989,0.9959,15815854,30.239
2025-05-19-12:31:11,362641,2306,15523340,366,0.9937,0.999,0.9963,15888653,30.268
2025-05-19-12:31:41,303127,2181,15603253,363,0.9929,0.9988,0.9958,15908924,28.754
2025-05-19-12:32:13,376584,3031,14620903,308,0.992,0.9992,0.9956,15000826,29.966
2025-05-19-12:32:45,348144,2692,13793557,365,0.9923,0.999,0.9956,14144758,29.696
2025-05-19-12:33:17,300320,2336,15548190,191,0.9923,0.9994,0.9958,15851037,30.109
2025-05-19-12:33:49,303255,1845,17133713,211,0.994,0.9993,0.9966,17439024,30.722
2025-05-19-12:34:21,330425,1883,16284107,227,0.9943,0.9993,0.9968,16616642,29.999
2025-05-19-12:34:54,346508,1810,16976455,206,0.9948,0.9994,0.9971,17324979,30.993
2025-05-19-12:35:25,323838,2158,15781133,340,0.9934,0.999,0.9962,16107469,29.815
2025-05-19-12:35:58,349337,2626,18749733,261,0.9925,0.9993,0.9959,19101957,30.444
2025-05-19-12:36:29,359470,2374,16387617,365,0.9934,0.999,0.9962,16749826,28.927
2025-05-19-12:36:59,379197,2617,13547790,283,0.9931,0.9993,0.9962,13929887,28.946
2025-05-19-12:37:33,314234,1882,15579732,260,0.994,0.9992,0.9966,15896108,31.477
2025-05-19-12:38:04,297813,2163,17285576,231,0.9928,0.9992,0.996,17585783,29.937
2025-05-19-12:38:36,306460,2024,16390740,277,0.9934,0.9991,0.9963,16699501,29.271
2025-05-19-12:39:08,335105,3061,13320487,525,0.9909,0.9984,0.9947,13659178,30.191
2025-05-19-12:39:40,350894,3232,18898438,311,0.9909,0.9991,0.995,19252875,30.176
2025-05-19-12:40:12,326886,3317,16141486,355,0.99,0.9989,0.9944,16472044,29.961
2025-05-19-12:40:43,361509,3395,12200141,321,0.9907,0.9991,0.9949,12565366,29.121
2025-05-19-12:41:15,349311,2463,16807339,306,0.993,0.9991,0.9961,17159419,30.417
2025-05-19-12:41:47,336907,2595,15857211,287,0.9924,0.9991,0.9957,16197000,30.275
2025-05-19-12:42:18,338079,2357,13482307,294,0.9931,0.9991,0.9961,13823037,29.688
2025-05-19-12:42:50,382158,2520,17824900,322,0.9934,0.9992,0.9963,18209900,29.622
2025-05-19-12:43:22,340139,2076,13131765,205,0.9939,0.9994,0.9967,13474185,30.455
2025-05-19-12:43:54,341631,2047,16836657,293,0.994,0.9991,0.9966,17180628,30.518
2025-05-19-12:44:26,354766,2143,14180486,222,0.994,0.9994,0.9967,14537617,30.115
2025-05-19-12:44:59,321944,1845,16185729,212,0.9943,0.9993,0.9968,16509730,31.356
2025-05-19-12:45:31,334545,1322,16643484,148,0.9961,0.9996,0.9978,16979499,30.551
2025-05-19-12:46:02,370960,1666,17250085,163,0.9955,0.9996,0.9975,17622874,29.612
2025-05-19-12:46:34,311664,1564,16757138,227,0.995,0.9993,0.9971,17070593,30.003
2025-05-19-12:47:02,329523,2305,16561561,256,0.9931,0.9992,0.9961,16893645,26.102
2025-05-19-12:47:27,351025,1722,14622424,202,0.9951,0.9994,0.9973,14975373,23.454
2025-05-19-12:47:51,346691,1993,15125964,223,0.9943,0.9994,0.9968,15474871,23.366
2025-05-19-12:48:16,340487,1752,14002338,193,0.9949,0.9994,0.9972,14344770,23.773
2025-05-19-12:48:41,360129,1742,14148758,229,0.9952,0.9994,0.9973,14510858,23.295
2025-05-19-12:49:05,337270,1610,14349259,152,0.9952,0.9995,0.9974,14688291,22.944
2025-05-19-12:49:30,373033,1741,15396410,253,0.9954,0.9993,0.9973,15771437,24.27
2025-05-19-12:49:54,301131,1635,16703068,145,0.9946,0.9995,0.9971,17005979,22.999
2025-05-19-12:50:19,374032,1475,15004754,192,0.9961,0.9995,0.9978,15380453,23.191
2025-05-19-12:50:43,344613,1221,14235014,183,0.9965,0.9995,0.998,14581031,22.866
2025-05-19-12:51:07,299822,1692,15494058,111,0.9944,0.9996,0.997,15795683,23.264
2025-05-19-13:34:50,324686,59468,15084747,15271,0.8452,0.9551,0.8968,15484172,22.629
2025-05-19-13:35:16,384066,39459,13758008,5800,0.9068,0.9851,0.9444,14187333,24.173
2025-05-19-13:35:41,329387,27542,13802781,3430,0.9228,0.9897,0.9551,14163140,24.136
2025-05-19-13:36:05,359998,20745,13465764,2856,0.9455,0.9921,0.9683,13849363,23.085
2025-05-19-13:36:29,370071,17926,14906075,2195,0.9538,0.9941,0.9735,15296267,22.818
2025-05-19-13:36:55,363385,18351,11351472,2204,0.9519,0.994,0.9725,11735412,24.614
2025-05-19-13:37:20,368690,14225,14312755,1856,0.9629,0.995,0.9787,14697526,23.794
2025-05-19-13:37:45,357614,18221,15054304,1556,0.9515,0.9957,0.9731,15431695,23.852
2025-05-19-13:38:10,369653,11631,11984118,1725,0.9695,0.9954,0.9823,12367127,23.149
2025-05-19-13:38:34,393682,9320,13635658,1298,0.9769,0.9967,0.9867,14039958,22.992
2025-05-19-13:38:58,328609,10603,14246413,1147,0.9687,0.9965,0.9824,14586772,23.155
2025-05-19-13:39:23,358894,10560,13054024,1225,0.9714,0.9966,0.9838,13424703,23.325
2025-05-19-13:39:47,387282,10693,13289784,1725,0.9731,0.9956,0.9842,13689484,23.027
2025-05-19-13:40:12,370687,9907,12739229,1412,0.974,0.9962,0.985,13121235,23.074
2025-05-19-13:40:36,388151,10981,12570818,1051,0.9725,0.9973,0.9847,12971001,23.292
2025-05-19-13:41:01,373155,8172,15023347,1013,0.9786,0.9973,0.9878,15405687,23.238
2025-05-19-13:41:25,363594,7943,15205804,956,0.9786,0.9974,0.9879,15578297,23.244
2025-05-19-13:41:50,380573,7149,14349211,932,0.9816,0.9976,0.9895,14737865,23.074
2025-05-19-13:42:14,345449,12356,12733400,1600,0.9655,0.9954,0.9802,13092805,23.536
2025-05-19-13:42:39,334888,8970,13756157,1598,0.9739,0.9953,0.9845,14101613,23.305
2025-05-19-13:43:03,313213,9500,16462335,907,0.9706,0.9971,0.9837,16785955,23.261
2025-05-19-13:43:28,354082,11570,10630183,1423,0.9684,0.996,0.982,10997258,22.983
2025-05-19-13:43:52,406929,10917,14986106,1788,0.9739,0.9956,0.9846,15405740,22.607
2025-05-19-13:44:16,344363,8323,12674257,1016,0.9764,0.9971,0.9866,13027959,23.102
2025-05-19-13:44:40,354152,11065,10719286,1091,0.9697,0.9969,0.9831,11085594,23.021
2025-05-19-13:45:05,343137,8855,12370764,1220,0.9748,0.9965,0.9855,12723976,22.996
2025-05-19-13:45:29,376821,8483,13760530,1108,0.978,0.9971,0.9874,14146942,23.484
2025-05-19-13:45:54,344380,7481,14276899,1256,0.9787,0.9964,0.9875,14630016,22.852
2025-05-19-13:46:18,369546,7627,14049828,844,0.9798,0.9977,0.9887,14427845,23.069
2025-05-19-13:46:42,345362,5502,13468207,868,0.9843,0.9975,0.9909,13819939,23.018
2025-05-19-13:47:07,380177,6735,13547725,775,0.9826,0.998,0.9902,13935412,23.553
2025-05-19-13:47:32,391495,5015,14594313,713,0.9874,0.9982,0.9927,14991536,23.238
2025-05-19-13:47:57,363565,5020,12854845,660,0.9864,0.9982,0.9922,13224090,23.258
2025-05-19-13:48:21,398548,5788,11977466,715,0.9857,0.9982,0.9919,12382517,23.347
2025-05-19-13:48:46,337019,4457,15707711,476,0.9869,0.9986,0.9927,16049663,23.25
2025-05-19-13:49:10,385424,5344,14467398,677,0.9863,0.9982,0.9922,14858843,23.197
2025-05-19-13:49:35,358259,4090,12964951,486,0.9887,0.9986,0.9937,13327786,23.168
2025-05-19-13:49:59,405915,4694,13200896,629,0.9886,0.9985,0.9935,13612134,22.94
2025-05-19-13:50:24,352357,5495,14701939,863,0.9846,0.9976,0.9911,15060654,23.481
2025-05-19-13:50:48,368689,5121,14007083,614,0.9863,0.9983,0.9923,14381507,23.228
2025-05-19-13:51:13,320625,3930,14220792,414,0.9879,0.9987,0.9933,14545761,23.225
2025-05-19-13:51:37,322297,3946,14767862,437,0.9879,0.9986,0.9932,15094542,23.023
2025-05-19-13:52:02,353605,3775,13121135,640,0.9894,0.9982,0.9938,13479155,23.039
2025-05-19-13:52:26,396009,3953,12978231,520,0.9901,0.9987,0.9944,13378713,23.184
2025-05-19-13:52:51,375019,3641,14326683,355,0.9904,0.9991,0.9947,14705698,23.119
2025-05-19-13:53:15,363441,4092,12180099,428,0.9889,0.9988,0.9938,12548060,23.016
2025-05-19-13:53:39,342403,4064,13498525,523,0.9883,0.9985,0.9933,13845515,23.053
2025-05-19-13:54:04,333713,4612,14168148,584,0.9864,0.9983,0.9923,14507057,23.016
2025-05-19-13:54:28,327083,4590,13328090,427,0.9862,0.9987,0.9924,13660190,23.089
2025-05-19-13:54:52,370352,3539,13232379,506,0.9905,0.9986,0.9946,13606776,22.85
2025-05-19-13:55:17,336826,4153,12321507,465,0.9878,0.9986,0.9932,12662951,22.959
2025-05-19-13:55:41,364940,4182,14947592,876,0.9887,0.9976,0.9931,15317590,23.176
