date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-05-16-15:25:34,283625,91695,29638482,27922,0.7557,0.9104,0.8259,30041724,23.926
2025-05-16-15:25:57,310352,80885,28165114,21566,0.7933,0.935,0.8583,28577917,22.464
2025-05-16-15:26:21,271354,52796,29888646,11792,0.8371,0.9584,0.8936,30224588,22.825
2025-05-16-15:26:44,295902,44078,29651916,7890,0.8704,0.974,0.9193,29999786,22.899
2025-05-16-15:27:08,293790,29328,27281342,7258,0.9092,0.9759,0.9414,27611718,22.65
2025-05-16-15:27:31,329953,23570,30284335,5281,0.9333,0.9842,0.9581,30643139,22.679
2025-05-16-15:27:54,294706,20599,28616952,4149,0.9347,0.9861,0.9597,28936406,22.7
2025-05-16-15:28:18,340188,14698,29367869,3949,0.9586,0.9885,0.9733,29726704,22.61
2025-05-16-15:28:41,297259,13498,28217819,2243,0.9566,0.9925,0.9742,28530819,22.76
2025-05-16-15:29:04,363852,14090,27466748,2543,0.9627,0.9931,0.9777,27847233,22.787
2025-05-16-15:29:28,311020,12373,26474414,2702,0.9617,0.9914,0.9763,26800509,22.851
2025-05-16-15:29:51,316441,13355,30571981,1993,0.9595,0.9937,0.9763,30903770,22.737
2025-05-16-15:30:14,288374,10452,27485904,2429,0.965,0.9916,0.9782,27787159,22.71
2025-05-16-15:30:38,320455,11628,30839351,1501,0.965,0.9953,0.9799,31172935,22.685
2025-05-16-15:31:01,305374,9726,29226006,1650,0.9691,0.9946,0.9817,29542756,22.875
2025-05-16-15:31:25,316547,8830,28168260,1333,0.9729,0.9958,0.9842,28494970,22.765
2025-05-16-15:31:48,273499,7653,28735837,1361,0.9728,0.995,0.9838,29018350,22.725
2025-05-16-15:32:11,300384,6550,27965512,930,0.9787,0.9969,0.9877,28273376,22.643
2025-05-16-15:32:34,314924,6716,25961189,1143,0.9791,0.9964,0.9877,26283972,22.783
2025-05-16-15:32:58,363325,8832,26083126,1550,0.9763,0.9958,0.9859,26456833,22.73
2025-05-16-15:33:21,302623,7306,26964364,1489,0.9764,0.9951,0.9857,27275782,22.836
2025-05-16-15:33:45,341133,11072,29024982,1913,0.9686,0.9944,0.9813,29379100,22.906
2025-05-16-15:34:08,300871,5971,29634191,851,0.9805,0.9972,0.9888,29941884,22.855
2025-05-16-15:34:31,298576,6373,24602448,1490,0.9791,0.995,0.987,24908887,22.787
2025-05-16-15:34:55,295144,8245,27514597,1513,0.9728,0.9949,0.9837,27819499,22.825
2025-05-16-15:35:18,285138,6673,27850168,813,0.9771,0.9972,0.987,28142792,22.682
2025-05-16-15:35:42,290906,5272,27451709,750,0.9822,0.9974,0.9898,27748637,22.693
2025-05-16-15:36:05,347259,5851,29274532,1056,0.9834,0.997,0.9902,29628698,22.629
2025-05-16-15:36:28,266387,5162,30119462,717,0.981,0.9973,0.9891,30391728,22.835
2025-05-16-15:36:52,289347,5365,26714110,930,0.9818,0.9968,0.9892,27009752,22.86
2025-05-16-15:37:15,299213,6590,25643911,872,0.9785,0.9971,0.9877,25950586,22.71
2025-05-16-15:37:39,281683,5767,29446662,1330,0.9799,0.9953,0.9876,29735442,22.964
2025-05-16-15:38:02,317230,7073,26883833,1156,0.9782,0.9964,0.9872,27209292,22.777
2025-05-16-15:38:26,298513,5206,27994169,784,0.9829,0.9974,0.9901,28298672,22.714
2025-05-16-15:38:49,323523,6130,28380900,987,0.9814,0.997,0.9891,28711540,22.89
2025-05-16-15:39:13,322574,3846,27398179,781,0.9882,0.9976,0.9929,27725380,22.904
2025-05-16-15:39:36,285538,5136,26903829,699,0.9823,0.9976,0.9899,27195202,22.664
2025-05-16-15:39:59,296711,4807,25218391,579,0.9841,0.9981,0.991,25520488,22.77
2025-05-16-15:40:23,307818,4889,26935807,1041,0.9844,0.9966,0.9905,27249555,22.777
2025-05-16-15:40:46,298980,5459,27851916,697,0.9821,0.9977,0.9898,28157052,22.919
2025-05-16-15:41:09,284827,4321,27758817,644,0.9851,0.9977,0.9914,28048609,22.752
2025-05-16-15:41:33,312774,4676,26133568,669,0.9853,0.9979,0.9915,26451687,22.746
2025-05-16-15:41:56,331435,3790,27563214,682,0.9887,0.9979,0.9933,27899121,22.685
2025-05-16-15:42:20,282165,4221,27745623,536,0.9853,0.9981,0.9916,28032545,22.875
2025-05-16-15:42:43,323028,4181,27223549,797,0.9872,0.9975,0.9924,27551555,22.938
2025-05-16-15:43:07,276989,3854,28097635,698,0.9863,0.9975,0.9919,28379176,22.977
2025-05-16-15:43:30,303808,4895,26095320,732,0.9841,0.9976,0.9908,26404755,22.641
2025-05-16-15:43:54,320537,4744,26094779,856,0.9854,0.9973,0.9913,26420916,22.852
2025-05-16-15:44:17,271790,4371,30130679,772,0.9842,0.9972,0.9906,30407612,22.713
2025-05-16-15:44:40,319410,5388,28119518,691,0.9834,0.9978,0.9906,28445007,22.849
2025-05-16-15:45:04,312217,4597,27774425,851,0.9855,0.9973,0.9914,28092090,22.613
2025-05-16-15:45:27,305867,4386,26847713,808,0.9859,0.9974,0.9916,27158774,22.538
2025-05-16-15:45:50,275282,3751,26329394,665,0.9866,0.9976,0.992,26609092,22.646
2025-05-16-15:46:14,302647,27501,26250183,4082,0.9167,0.9867,0.9504,26584413,23.211
2025-05-16-15:46:37,302013,22209,26191956,4082,0.9315,0.9867,0.9583,26520260,22.675
2025-05-16-15:47:00,278904,14695,25192812,2379,0.9499,0.9915,0.9703,25488790,22.806
2025-05-16-15:47:24,334966,12627,25063259,2286,0.9637,0.9932,0.9782,25413138,22.789
2025-05-16-15:47:47,283377,9002,24818001,1133,0.9692,0.996,0.9824,25111513,22.844
2025-05-16-15:48:11,287304,8100,23193974,1177,0.9726,0.9959,0.9841,23490555,22.601
2025-05-16-15:48:34,326042,9126,27078453,1211,0.9728,0.9963,0.9844,27414832,22.572
2025-05-16-15:48:57,327415,6615,26029959,703,0.9802,0.9979,0.9889,26364692,22.775
2025-05-16-15:49:21,298119,6154,25105606,1055,0.9798,0.9965,0.9881,25410934,22.836
2025-05-16-15:49:44,331645,6422,26532390,897,0.981,0.9973,0.9891,26871354,22.604
2025-05-16-15:50:07,365310,5693,27964531,787,0.9847,0.9979,0.9912,28336321,22.627
2025-05-16-15:50:30,340655,5319,25415018,797,0.9846,0.9977,0.9911,25761789,22.56
2025-05-16-15:50:53,353379,5695,24394426,816,0.9841,0.9977,0.9909,24754316,22.614
2025-05-16-15:51:17,335130,4383,23836745,568,0.9871,0.9983,0.9927,24176826,22.85
2025-05-16-15:51:40,328633,4553,22263211,583,0.9863,0.9982,0.9922,22596980,22.429
2025-05-16-15:52:03,345113,5173,24345917,609,0.9852,0.9982,0.9917,24696812,22.567
2025-05-16-15:52:27,339869,4557,25196677,537,0.9868,0.9984,0.9926,25541640,22.914
2025-05-16-15:52:50,331150,4483,25114904,704,0.9866,0.9979,0.9922,25451241,22.452
2025-05-16-15:53:13,301067,3886,24313381,539,0.9873,0.9982,0.9927,24618873,22.746
2025-05-16-15:53:36,328109,4245,23629184,719,0.9872,0.9978,0.9925,23962257,22.521
2025-05-16-15:53:59,327547,17275,23606170,2672,0.9499,0.9919,0.9705,23953664,22.716
2025-05-16-15:54:22,290597,24323,24095273,3166,0.9228,0.9892,0.9548,24413359,22.4
2025-05-16-15:54:46,256037,13723,26680072,1848,0.9491,0.9928,0.9705,26951680,22.725
2025-05-16-15:55:09,297794,8351,23002410,1436,0.9727,0.9952,0.9838,23309991,22.907
2025-05-16-15:55:33,312628,8917,21109018,1469,0.9723,0.9953,0.9837,21432032,22.809
2025-05-16-15:55:56,300422,8069,24818854,1344,0.9738,0.9955,0.9846,25128689,22.444
2025-05-16-15:56:19,304399,5956,23823486,1077,0.9808,0.9965,0.9886,24134918,22.862
2025-05-16-15:56:42,330708,6438,22694047,742,0.9809,0.9978,0.9893,23031935,22.746
2025-05-16-15:57:06,300852,4476,21928840,788,0.9853,0.9974,0.9913,22234956,22.622
2025-05-16-15:57:29,314205,4824,23642500,593,0.9849,0.9981,0.9915,23962122,22.693
2025-05-16-15:57:52,277930,4095,25411777,437,0.9855,0.9984,0.9919,25694239,22.791
2025-05-16-15:58:16,300334,4230,25264074,537,0.9861,0.9982,0.9921,25569175,22.746
2025-05-16-15:58:39,316377,3848,25605798,518,0.988,0.9984,0.9931,25926541,22.51
2025-05-16-15:59:02,309726,3173,25336683,601,0.9899,0.9981,0.9939,25650183,22.87
2025-05-16-15:59:26,287112,3417,23153605,417,0.9882,0.9985,0.9934,23444551,22.869
2025-05-16-15:59:49,377279,5131,24282407,766,0.9866,0.998,0.9922,24665583,22.712
2025-05-16-16:00:12,250303,3347,24017055,485,0.9868,0.9981,0.9924,24271190,22.528
2025-05-16-16:00:35,302075,3820,26934730,746,0.9875,0.9975,0.9925,27241371,22.492
2025-05-16-16:00:59,305018,3997,26462270,470,0.9871,0.9985,0.9927,26771755,22.808
2025-05-16-16:01:22,288189,3639,25083659,595,0.9875,0.9979,0.9927,25376082,22.623
2025-05-16-16:01:45,290674,2821,26585547,442,0.9904,0.9985,0.9944,26879484,22.855
2025-05-16-16:02:09,318399,3071,23912712,312,0.9904,0.999,0.9947,24234494,22.507
2025-05-16-16:02:32,296112,2829,27580857,279,0.9905,0.9991,0.9948,27880077,22.803
2025-05-16-16:02:55,288088,2758,25060475,427,0.9905,0.9985,0.9945,25351748,22.724
2025-05-16-16:03:18,297360,3182,24155986,391,0.9894,0.9987,0.994,24456919,22.531
2025-05-16-16:03:41,326086,2439,23566243,356,0.9926,0.9989,0.9957,23895124,22.449
2025-05-16-16:04:05,301108,3295,26146827,475,0.9892,0.9984,0.9938,26451705,22.749
2025-05-16-16:04:28,270424,3065,25630015,362,0.9888,0.9987,0.9937,25903866,22.771
2025-05-16-16:04:51,297298,2998,22770102,355,0.99,0.9988,0.9944,23070753,22.666
2025-05-16-16:05:15,318631,3272,24265763,468,0.9898,0.9985,0.9942,24588134,22.717
2025-05-16-16:05:38,291380,2819,24619288,433,0.9904,0.9985,0.9945,24913920,22.761
2025-05-16-16:06:01,303782,3217,24142666,458,0.9895,0.9985,0.994,24450123,22.618
2025-05-16-16:06:25,275169,2641,22557916,240,0.9905,0.9991,0.9948,22835966,22.827
2025-05-16-16:06:48,366047,35169,23153240,11591,0.9123,0.9693,0.94,23566047,22.798
2025-05-16-16:07:11,350390,33404,21564328,5186,0.913,0.9854,0.9478,21953308,22.644
2025-05-16-16:07:34,365884,18884,21313684,3153,0.9509,0.9915,0.9708,21701605,22.53
2025-05-16-16:07:58,403820,13069,24974336,1786,0.9687,0.9956,0.9819,25393011,22.604
2025-05-16-16:08:21,344967,8686,23930835,1629,0.9754,0.9953,0.9853,24286117,22.758
2025-05-16-16:08:44,369630,6379,21729448,1043,0.983,0.9972,0.9901,22106500,22.805
2025-05-16-16:09:08,363845,5187,23633626,710,0.9859,0.9981,0.992,24003368,22.602
2025-05-16-16:09:31,363324,6541,22571877,815,0.9823,0.9978,0.99,22942557,22.599
2025-05-16-16:09:54,393069,6033,24921286,899,0.9849,0.9977,0.9913,25321287,22.91
2025-05-16-16:10:18,343285,5445,23665479,707,0.9844,0.9979,0.9911,24014916,22.798
2025-05-16-16:10:41,439685,3960,21839051,816,0.9911,0.9981,0.9946,22283512,22.593
2025-05-16-16:11:04,399134,4247,23148448,490,0.9895,0.9988,0.9941,23552319,22.706
2025-05-16-16:11:28,363987,3703,26642360,525,0.9899,0.9986,0.9942,27010575,22.757
2025-05-16-16:11:51,330140,3571,20931474,455,0.9893,0.9986,0.9939,21265640,22.611
2025-05-16-16:12:15,381880,3819,22619184,488,0.9901,0.9987,0.9944,23005371,22.852
2025-05-16-16:12:38,364667,3988,22111495,510,0.9892,0.9986,0.9939,22480660,22.684
