date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-05-11-21:36:27,187963,23380,26818513,11213,0.8894,0.9437,0.9157,27041069,23.137
2025-05-11-21:36:51,202917,24330,24797014,10071,0.8929,0.9527,0.9219,25034332,23.092
2025-05-11-21:37:15,188184,24875,26054029,11105,0.8832,0.9443,0.9127,26278193,23.403
2025-05-11-21:37:38,146315,81037,31318469,35938,0.6436,0.8028,0.7144,31581759,22.987
2025-05-11-21:38:02,162543,37862,29732104,20989,0.8111,0.8856,0.8467,29953498,23.125
2025-05-11-21:38:25,162767,43917,29682746,14002,0.7875,0.9208,0.849,29903432,23.264
2025-05-11-21:38:49,170245,31790,27439398,16577,0.8427,0.9113,0.8756,27658010,22.992
2025-05-11-21:39:12,177237,27163,25504907,7964,0.8671,0.957,0.9098,25717271,23.171
2025-05-11-21:39:36,163266,25759,31206551,11775,0.8637,0.9327,0.8969,31407351,23.077
2025-05-11-21:39:59,182086,31932,27082495,13675,0.8508,0.9301,0.8887,27310188,23.075
2025-05-11-21:40:22,180179,30693,27367138,14120,0.8544,0.9273,0.8894,27592130,23.051
2025-05-11-21:40:46,152419,24265,28744418,8866,0.8627,0.945,0.902,28929968,23.188
2025-05-11-21:41:09,166764,22833,27662547,11550,0.8796,0.9352,0.9065,27863694,23.005
2025-05-11-21:41:33,176634,22370,28654362,7639,0.8876,0.9585,0.9217,28861005,22.954
2025-05-11-21:41:56,192322,22307,27223514,7282,0.8961,0.9635,0.9286,27445425,23.147
2025-05-11-21:42:20,177583,15355,26037948,7195,0.9204,0.9611,0.9403,26238081,23.01
2025-05-11-21:42:43,158365,15428,26830045,5934,0.9112,0.9639,0.9368,27009772,23.161
2025-05-11-21:43:07,167804,12732,28924281,4969,0.9295,0.9712,0.9499,29109786,23.255
2025-05-11-21:43:31,181801,16642,30610788,5779,0.9161,0.9692,0.9419,30815010,23.245
2025-05-11-21:43:54,168934,17725,26462176,6264,0.905,0.9642,0.9337,26655099,22.991
2025-05-11-21:44:18,159716,15681,29656006,6785,0.9106,0.9592,0.9343,29838188,23.155
2025-05-11-21:44:41,205751,23492,31090331,5347,0.8975,0.9747,0.9345,31324921,22.973
2025-05-11-21:45:04,173357,13235,27797896,3952,0.9291,0.9777,0.9528,27988440,22.995
2025-05-11-21:45:28,170966,10146,28610750,3798,0.944,0.9783,0.9608,28795660,23.06
2025-05-11-21:45:51,180807,20349,26434913,5725,0.8988,0.9693,0.9327,26641794,22.718
2025-05-11-21:46:15,172519,12019,25753750,3934,0.9349,0.9777,0.9558,25942222,23.225
2025-05-11-21:46:38,170414,13942,27642139,4103,0.9244,0.9765,0.9497,27830598,23.243
2025-05-11-21:47:02,181066,13971,28758663,3931,0.9284,0.9788,0.9529,28957631,22.955
2025-05-11-21:47:25,179972,13579,24808420,4201,0.9298,0.9772,0.9529,25006172,23.046
2025-05-11-21:47:49,171939,22586,30802430,3487,0.8839,0.9801,0.9295,31000442,23.13
2025-05-11-21:48:12,165425,12803,28092369,4856,0.9282,0.9715,0.9493,28275453,23.161
2025-05-11-21:48:36,150508,14551,31685920,3883,0.9118,0.9748,0.9423,31854862,22.969
2025-05-11-21:48:59,177270,13961,26333939,4231,0.927,0.9767,0.9512,26529401,23.184
2025-05-11-21:49:23,162014,12345,30412839,3625,0.9292,0.9781,0.953,30590823,22.912
2025-05-11-21:49:46,194663,11675,26285516,3410,0.9434,0.9828,0.9627,26495264,23.441
2025-05-11-21:50:10,161186,8032,28586662,2593,0.9525,0.9842,0.9681,28758473,23.22
2025-05-11-21:50:33,198083,14618,24705288,4322,0.9313,0.9786,0.9544,24922311,22.859
2025-05-11-21:50:57,180875,13751,28816512,3995,0.9293,0.9784,0.9532,29015133,23.013
2025-05-11-21:51:20,176639,11761,33279118,3528,0.9376,0.9804,0.9585,33471046,23.088
2025-05-11-21:51:44,172255,18549,28957943,4418,0.9028,0.975,0.9375,29153165,23.285
2025-05-11-21:52:07,184151,9698,30078832,3556,0.95,0.9811,0.9653,30276237,23.075
2025-05-11-21:52:31,171812,12270,29303002,3430,0.9333,0.9804,0.9563,29490514,23.107
2025-05-11-21:52:54,172819,15308,30689289,3869,0.9186,0.9781,0.9474,30881285,22.965
2025-05-11-21:53:18,187726,11808,29389119,2664,0.9408,0.986,0.9629,29591317,23.182
2025-05-11-21:53:41,186420,11689,25530795,2596,0.941,0.9863,0.9631,25731500,22.983
2025-05-11-21:54:05,181811,10749,29101189,2424,0.9442,0.9868,0.965,29296173,23.006
2025-05-11-21:54:28,180624,15360,30019488,3345,0.9216,0.9818,0.9508,30218817,23.158
2025-05-11-21:54:52,162836,8200,30116213,2328,0.9521,0.9859,0.9687,30289577,23.021
2025-05-11-21:55:15,177654,11106,27558708,4216,0.9412,0.9768,0.9587,27751684,23.127
2025-05-11-21:55:38,201130,14202,26362008,3198,0.934,0.9843,0.9585,26580538,22.993
