date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-05-12-08:40:06,187906,24638,29124128,12661,0.8841,0.9369,0.9097,29349333,23.406
2025-05-12-08:40:29,187508,37928,26848565,11377,0.8318,0.9428,0.8838,27085378,22.613
2025-05-12-08:40:52,176487,14936,26522100,7942,0.922,0.9569,0.9391,26721465,22.561
2025-05-12-08:41:15,179034,23300,27672428,8971,0.8848,0.9523,0.9173,27883733,22.574
2025-05-12-08:41:39,156343,18011,29746207,5919,0.8967,0.9635,0.9289,29926480,22.765
2025-05-12-08:42:02,159585,20987,28266944,6661,0.8838,0.9599,0.9203,28454177,22.945
2025-05-12-08:42:25,173698,20662,29670170,7205,0.8937,0.9602,0.9257,29871735,22.661
2025-05-12-08:42:48,184323,24418,26891559,6203,0.883,0.9674,0.9233,27106503,22.642
2025-05-12-08:43:11,185610,13633,28341327,5082,0.9316,0.9733,0.952,28545652,22.683
2025-05-12-08:43:35,174955,14748,29692887,4832,0.9223,0.9731,0.947,29887422,22.701
2025-05-12-08:43:58,199414,20303,28654642,5570,0.9076,0.9728,0.9391,28879929,22.772
2025-05-12-08:44:21,165452,12286,29548117,4097,0.9309,0.9758,0.9528,29729952,22.771
2025-05-12-08:44:44,184863,14027,28220946,5081,0.9295,0.9733,0.9509,28424917,22.794
2025-05-12-08:45:07,174297,16199,30049577,4251,0.915,0.9762,0.9446,30244324,22.561
2025-05-12-08:45:31,204907,19913,24548380,5192,0.9114,0.9753,0.9423,24778392,22.771
2025-05-12-08:45:54,172705,17317,29789912,4276,0.9089,0.9758,0.9412,29984210,22.672
2025-05-12-08:46:17,165051,11751,27097593,3815,0.9335,0.9774,0.955,27278210,22.852
2025-05-12-08:46:40,203755,14892,27831529,4390,0.9319,0.9789,0.9548,28054566,22.97
2025-05-12-08:47:04,180256,16633,28224474,3847,0.9155,0.9791,0.9462,28425210,22.715
2025-05-12-08:47:26,177541,18894,31295542,4646,0.9038,0.9745,0.9378,31496623,22.459
2025-05-12-08:47:50,168336,12669,29901293,3491,0.93,0.9797,0.9542,30085789,22.607
2025-05-12-08:48:13,180602,14313,24323771,4460,0.9266,0.9759,0.9506,24523146,22.798
2025-05-12-08:48:36,177974,15034,24736076,3617,0.9221,0.9801,0.9502,24932701,22.868
2025-05-12-08:48:59,162328,13868,28880882,3829,0.9213,0.977,0.9483,29060907,22.816
2025-05-12-08:49:23,169088,14583,29983746,3584,0.9206,0.9792,0.949,30171001,22.771
2025-05-12-08:49:46,172519,15954,28522871,3780,0.9154,0.9786,0.9459,28715124,22.692
2025-05-12-08:50:09,168944,13373,27680050,3147,0.9266,0.9817,0.9534,27865514,22.873
2025-05-12-08:50:32,196006,10471,27941748,3314,0.9493,0.9834,0.966,28151539,22.718
2025-05-12-08:50:56,165809,11588,31154565,2157,0.9347,0.9872,0.9602,31334119,22.842
2025-05-12-08:51:19,188892,11307,28996314,3484,0.9435,0.9819,0.9623,29199997,22.66
2025-05-12-08:51:42,186229,18625,30298466,4499,0.9091,0.9764,0.9415,30507819,22.912
2025-05-12-08:52:05,181886,11224,29717148,3153,0.9419,0.983,0.962,29913411,22.594
2025-05-12-08:52:29,180074,11729,26996888,3404,0.9388,0.9814,0.9597,27192095,22.806
2025-05-12-08:52:52,180696,12279,29133044,3078,0.9364,0.9833,0.9592,29329097,22.89
2025-05-12-08:53:15,169474,13915,30506346,2697,0.9241,0.9843,0.9533,30692432,22.616
2025-05-12-08:53:38,156621,11485,31686533,2320,0.9317,0.9854,0.9578,31856959,22.789
2025-05-12-08:54:01,191882,10735,26261585,2669,0.947,0.9863,0.9663,26466871,22.731
2025-05-12-08:54:25,191066,12891,29718862,2754,0.9368,0.9858,0.9607,29925573,22.982
2025-05-12-08:54:48,188206,11990,29810608,2551,0.9401,0.9866,0.9628,30013355,22.945
2025-05-12-08:55:12,192973,15843,30488692,2930,0.9241,0.985,0.9536,30700438,22.881
2025-05-12-08:55:35,188369,14049,27225471,3331,0.9306,0.9826,0.9559,27431220,22.836
2025-05-12-08:55:58,184804,13086,28096260,2975,0.9339,0.9842,0.9584,28297125,22.786
2025-05-12-08:56:22,183005,12522,29825359,2943,0.936,0.9842,0.9595,30023829,22.864
2025-05-12-08:56:45,171096,10450,30323443,2000,0.9424,0.9884,0.9649,30506989,22.792
2025-05-12-08:57:08,159559,10558,32063544,1340,0.9379,0.9917,0.9641,32235001,22.48
2025-05-12-08:57:31,171561,6308,27441245,1481,0.9645,0.9914,0.9778,27620595,22.647
2025-05-12-08:57:54,175527,8245,29895502,1759,0.9551,0.9901,0.9723,30081033,22.826
2025-05-12-08:58:18,160277,9050,29562976,1759,0.9466,0.9891,0.9674,29734062,22.793
2025-05-12-08:58:41,166263,10147,30445430,1879,0.9425,0.9888,0.9651,30623719,22.764
2025-05-12-08:59:04,180105,8293,28385971,2174,0.956,0.9881,0.9718,28576543,22.877
2025-05-12-08:59:27,167659,9558,32060908,2051,0.9461,0.9879,0.9665,32240176,22.919
