date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-05-10-20:49:52,221923,498871,2119068,19575,0.3079,0.9189,0.4612,2859437,23.338
2025-05-10-20:50:14,206061,296443,1743193,4625,0.4101,0.978,0.5779,2250322,22.255
2025-05-10-20:53:24,203581,407237,1846347,18296,0.3333,0.9175,0.489,2475461,23.544
2025-05-10-20:53:47,224251,215597,2063435,5783,0.5098,0.9749,0.6695,2509066,22.628
2025-05-10-20:54:10,225935,98356,2096162,5503,0.6967,0.9762,0.8131,2425956,22.892
2025-05-10-20:54:33,224209,75075,2276519,5479,0.7492,0.9761,0.8477,2581282,22.853
2025-05-10-20:54:56,216749,63662,2109467,5976,0.773,0.9732,0.8616,2395854,22.787
2025-05-10-20:55:20,211854,35028,2536359,3858,0.8581,0.9821,0.9159,2787099,23.172
2025-05-10-20:55:43,217581,30021,2426924,3504,0.8788,0.9842,0.9285,2678030,23.174
2025-05-10-20:56:06,234681,27471,2105123,3054,0.8952,0.9872,0.9389,2370329,22.629
2025-05-10-20:56:29,231706,26139,2291176,3596,0.8986,0.9847,0.9397,2552617,22.84
2025-05-10-20:56:52,226649,25833,2230078,3411,0.8977,0.9852,0.9394,2485971,23.004
2025-05-10-20:57:16,229767,24327,2282582,2877,0.9043,0.9876,0.9441,2539553,22.925
2025-05-10-20:57:39,208401,16278,2072622,1589,0.9275,0.9924,0.9589,2298890,22.827
2025-05-10-20:58:02,226321,18200,2214343,2168,0.9256,0.9905,0.9569,2461032,22.679
2025-05-10-20:58:25,235358,14699,2266262,1444,0.9412,0.9939,0.9668,2517763,22.924
2025-05-10-20:58:48,231327,14133,2376979,2090,0.9424,0.991,0.9661,2624529,22.962
2025-05-10-20:59:11,216861,15539,2469681,2087,0.9331,0.9905,0.9609,2704168,22.953
2025-05-10-20:59:34,212395,12771,2108777,1652,0.9433,0.9923,0.9672,2335595,23.027
2025-05-10-20:59:58,232695,12242,2013136,1780,0.95,0.9924,0.9708,2259853,22.927
2025-05-10-21:00:21,219148,13407,2604346,1459,0.9423,0.9934,0.9672,2838360,22.903
2025-05-10-21:00:44,220305,11882,2171895,1369,0.9488,0.9938,0.9708,2405451,22.707
2025-05-10-21:01:07,230981,11577,2452096,2143,0.9523,0.9908,0.9712,2696797,22.975
2025-05-10-21:01:30,226538,8986,1876986,1223,0.9618,0.9946,0.978,2113733,22.892
2025-05-10-21:01:53,233256,8611,2149190,935,0.9644,0.996,0.9799,2391992,22.944
2025-05-10-21:02:17,237516,7645,2135205,1126,0.9688,0.9953,0.9819,2381492,22.959
2025-05-10-21:02:40,231228,7700,2630003,1351,0.9678,0.9942,0.9808,2870282,22.692
2025-05-10-21:03:03,223838,7029,2240339,1274,0.9696,0.9943,0.9818,2472480,22.947
2025-05-10-21:03:26,222999,6083,2109273,1013,0.9734,0.9955,0.9843,2339368,23.122
2025-05-10-21:03:50,232037,7388,2286636,909,0.9691,0.9961,0.9824,2526970,22.938
2025-05-10-21:04:13,226628,7357,2287823,1332,0.9686,0.9942,0.9812,2523140,22.965
2025-05-10-21:04:36,214996,8062,2445169,930,0.9639,0.9957,0.9795,2669157,22.793
2025-05-10-21:04:59,229435,6534,2314964,1285,0.9723,0.9944,0.9832,2552218,22.775
2025-05-10-21:05:22,221601,7503,2457004,1054,0.9673,0.9953,0.9811,2687162,22.971
2025-05-10-21:05:46,225191,6798,2596794,1649,0.9707,0.9927,0.9816,2830432,23.091
2025-05-10-21:06:09,243694,7870,2449890,861,0.9687,0.9965,0.9824,2702315,23.086
2025-05-10-21:06:32,207531,5481,2393225,1261,0.9743,0.994,0.984,2607498,22.827
2025-05-10-21:06:55,212326,5967,2312073,963,0.9727,0.9955,0.9839,2531329,22.952
2025-05-10-21:07:19,224352,5613,2563313,1295,0.9756,0.9943,0.9848,2794573,23.035
2025-05-10-21:07:42,223668,5507,2181757,787,0.976,0.9965,0.9861,2411719,22.802
2025-05-10-21:08:05,231573,5981,2498257,875,0.9748,0.9962,0.9854,2736686,23.059
2025-05-10-21:08:28,223062,7075,2148041,799,0.9693,0.9964,0.9827,2378977,23.027
2025-05-10-21:08:52,219841,6690,2218038,1208,0.9705,0.9945,0.9824,2445777,23.079
2025-05-10-21:09:15,245949,7772,2270191,1060,0.9694,0.9957,0.9824,2524972,22.996
2025-05-10-21:09:38,223075,5448,2626549,957,0.9762,0.9957,0.9858,2856029,23.11
2025-05-10-21:10:02,219488,3494,2155029,529,0.9843,0.9976,0.9909,2378540,22.834
2025-05-10-21:10:25,225032,3185,2246482,744,0.986,0.9967,0.9913,2475443,22.97
2025-05-10-21:10:48,227733,4415,2181969,1316,0.981,0.9943,0.9876,2415433,23.071
2025-05-10-21:11:12,234105,4238,2199215,730,0.9822,0.9969,0.9895,2438288,23.101
2025-05-10-21:11:35,209327,3743,2167360,790,0.9824,0.9962,0.9893,2381220,23.037
2025-05-10-21:11:58,234884,5260,2443775,963,0.9781,0.9959,0.9869,2684882,22.807
2025-05-10-21:12:21,236518,4006,2204805,721,0.9833,0.997,0.9901,2446050,22.97
2025-05-10-21:12:44,223614,5213,2213429,564,0.9772,0.9975,0.9872,2442820,22.971
2025-05-10-21:13:08,242950,5782,2193601,1352,0.9768,0.9945,0.9855,2443685,22.868
2025-05-10-21:13:31,225409,5421,2459771,515,0.9765,0.9977,0.987,2691116,22.756
2025-05-10-21:13:54,224195,4526,2214054,704,0.9802,0.9969,0.9885,2443479,22.99
2025-05-10-21:14:17,222371,4256,2331213,900,0.9812,0.996,0.9885,2558740,22.848
2025-05-10-21:14:40,233616,4725,2281408,590,0.9802,0.9975,0.9888,2520339,22.982
2025-05-10-21:15:03,239519,3523,2264267,814,0.9855,0.9966,0.991,2508123,22.729
2025-05-10-21:15:27,233943,3788,2476704,522,0.9841,0.9978,0.9909,2714957,23.063
2025-05-10-21:15:50,219388,3087,2132021,654,0.9861,0.997,0.9915,2355150,22.799
2025-05-10-21:16:13,236818,4228,2485154,551,0.9825,0.9977,0.99,2726751,23.068
2025-05-10-21:16:36,218838,2695,2338453,314,0.9878,0.9986,0.9932,2560300,23.137
2025-05-10-21:54:16,176030,1465940,4839892,29881,0.1072,0.8549,0.1905,6511743,23.017
2025-05-10-21:54:39,171206,514908,11496618,30442,0.2495,0.849,0.3857,12213174,22.486
2025-05-10-21:55:03,179982,81354,13424967,17569,0.6887,0.9111,0.7844,13703872,22.856
2025-05-10-21:55:26,176738,36778,14287717,12684,0.8278,0.933,0.8772,14513917,23.043
2025-05-10-21:55:49,189066,38150,15349567,6044,0.8321,0.969,0.8954,15582827,22.758
2025-05-10-21:56:12,179052,24762,13622148,5039,0.8785,0.9726,0.9232,13831001,22.879
2025-05-10-21:56:36,186065,17689,10572185,4871,0.9132,0.9745,0.9428,10780810,22.947
2025-05-10-21:56:59,200920,30494,12127178,6570,0.8682,0.9683,0.9156,12365162,23.013
2025-05-10-21:57:23,179044,21787,13240134,4189,0.8915,0.9771,0.9324,13445154,22.955
2025-05-10-21:57:46,194666,14239,12521813,4026,0.9318,0.9797,0.9552,12734744,23.138
2025-05-10-21:58:10,203129,20911,12678696,2292,0.9067,0.9888,0.946,12905028,22.986
2025-05-10-21:58:33,188639,10944,14139222,3143,0.9452,0.9836,0.964,14341948,22.79
2025-05-10-21:58:56,199337,12042,14436070,2802,0.943,0.9861,0.9641,14650251,23.067
2025-05-10-21:59:20,200292,11596,13702971,2241,0.9453,0.9889,0.9666,13917100,22.878
2025-05-10-21:59:43,185532,10052,15132314,1982,0.9486,0.9894,0.9686,15329880,23.013
2025-05-10-22:00:06,182504,8244,15455380,2119,0.9568,0.9885,0.9724,15648247,22.923
2025-05-10-22:00:30,198458,6968,13479214,1252,0.9661,0.9937,0.9797,13685892,23.015
2025-05-10-22:00:53,190755,6998,12860678,1278,0.9646,0.9933,0.9788,13059709,23.0
2025-05-10-22:01:16,177808,6926,15372649,1592,0.9625,0.9911,0.9766,15558975,22.561
2025-05-10-22:01:40,168459,6386,14967574,1161,0.9635,0.9932,0.9781,15143580,23.026
2025-05-10-22:02:03,188871,4979,12964876,1713,0.9743,0.991,0.9826,13160439,23.046
2025-05-10-22:02:27,183064,5301,14815459,1266,0.9719,0.9931,0.9824,15005090,23.07
2025-05-10-22:02:50,188849,7009,15287523,1692,0.9642,0.9911,0.9775,15485073,23.174
2025-05-10-22:03:14,180719,5183,13215802,1074,0.9721,0.9941,0.983,13402778,22.916
2025-05-10-22:03:37,195530,6704,14687886,1915,0.9669,0.9903,0.9784,14892035,22.916
2025-05-10-22:04:00,199514,5144,11777926,1168,0.9749,0.9942,0.9844,11983752,22.892
2025-05-10-22:04:24,194384,6744,12865552,2004,0.9665,0.9898,0.978,13068684,22.985
2025-05-10-22:04:47,184244,6170,10426803,1222,0.9676,0.9934,0.9803,10618439,22.97
2025-05-10-22:05:10,196665,7066,13601432,1852,0.9653,0.9907,0.9778,13807015,22.96
2025-05-10-22:05:34,196379,4065,11776425,1321,0.9797,0.9933,0.9865,11978190,23.064
2025-05-10-22:05:57,188574,4384,14378834,1065,0.9773,0.9944,0.9858,14572857,22.972
2025-05-10-22:06:21,181200,4227,12396109,884,0.9772,0.9951,0.9861,12582420,22.906
2025-05-10-22:06:44,191188,4689,13179164,1560,0.9761,0.9919,0.9839,13376601,22.903
2025-05-10-22:07:07,209969,4884,12639775,1416,0.9773,0.9933,0.9852,12856044,23.197
2025-05-10-22:07:31,189449,55299,13042698,4455,0.7741,0.977,0.8638,13291901,22.805
2025-05-10-22:07:54,170437,28183,14452579,7335,0.8581,0.9587,0.9056,14658534,22.859
2025-05-10-22:08:17,182058,14588,10691326,4346,0.9258,0.9767,0.9506,10892318,23.127
2025-05-10-22:08:41,173323,12397,11340423,3140,0.9332,0.9822,0.9571,11529283,22.81
2025-05-10-22:09:04,188651,8446,13169190,2179,0.9571,0.9886,0.9726,13368466,23.071
2025-05-10-22:09:28,173242,8124,13421549,1478,0.9552,0.9915,0.973,13604393,22.927
2025-05-10-22:09:51,184231,5614,15099030,1589,0.9704,0.9914,0.9808,15290464,22.947
2025-05-10-22:10:15,204257,6783,12279943,1599,0.9679,0.9922,0.9799,12492582,23.012
2025-05-10-22:10:38,198387,4687,12473916,1258,0.9769,0.9937,0.9852,12678248,23.14
2025-05-10-22:11:02,200328,4312,15180838,1219,0.9789,0.994,0.9864,15386697,23.176
2025-05-10-22:11:25,178441,4098,13603209,609,0.9776,0.9966,0.987,13786357,22.689
2025-05-10-22:11:48,192790,4686,10686282,1514,0.9763,0.9922,0.9842,10885272,22.981
2025-05-10-22:12:12,191910,5614,12011345,1206,0.9716,0.9938,0.9825,12210075,23.056
2025-05-10-22:12:35,194541,4267,14293339,1123,0.9785,0.9943,0.9863,14493270,23.104
2025-05-10-22:12:59,181499,2845,13543759,814,0.9846,0.9955,0.99,13728917,23.102
2025-05-10-22:13:22,190511,4579,14282613,1088,0.9765,0.9943,0.9853,14478791,23.085
