date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-05-09-20:54:09,154209,432382,871315,6565,0.2629,0.9592,0.4127,1464471,23.807
2025-05-09-20:54:32,172349,144000,1196470,0,0.5448,1.0,0.7053,1512819,22.461
2025-05-09-20:54:55,154834,10793,1237421,0,0.9348,1.0,0.9663,1403048,22.564
2025-05-09-20:55:18,169996,5665,1373500,0,0.9678,1.0,0.9836,1549161,22.708
2025-05-09-20:55:41,166114,2639,1351476,0,0.9844,1.0,0.9921,1520229,22.886
2025-05-09-20:56:04,180480,1224,1428767,0,0.9933,1.0,0.9966,1610471,22.616
2025-05-09-20:56:27,176595,1124,1400460,0,0.9937,1.0,0.9968,1578179,22.61
2025-05-09-20:56:50,167658,507,1361003,0,0.997,1.0,0.9985,1529168,22.97
2025-05-09-20:57:13,155519,433,1252110,0,0.9972,1.0,0.9986,1408062,22.715
2025-05-09-20:57:36,160908,366,1273448,0,0.9977,1.0,0.9989,1434722,22.843
2025-05-09-20:57:59,166396,218,1343723,0,0.9987,1.0,0.9993,1510337,22.745
2025-05-09-20:58:22,149962,414,1207577,0,0.9972,1.0,0.9986,1357953,22.881
2025-05-09-20:58:45,157503,294,1276499,0,0.9981,1.0,0.9991,1434296,22.866
2025-05-09-20:59:08,167935,380,1343878,1,0.9977,1.0,0.9989,1512194,22.95
2025-05-09-20:59:32,164624,211,1331419,0,0.9987,1.0,0.9994,1496254,22.909
2025-05-09-20:59:55,168369,547,1363501,0,0.9968,1.0,0.9984,1532417,22.959
2025-05-09-21:00:18,161012,211,1296513,0,0.9987,1.0,0.9993,1457736,22.721
2025-05-09-21:00:41,159926,129,1279359,0,0.9992,1.0,0.9996,1439414,22.991
2025-05-09-21:01:04,161521,182,1305592,1,0.9989,1.0,0.9994,1467296,22.742
2025-05-09-21:01:27,166119,92,1323772,0,0.9994,1.0,0.9997,1489983,22.828
2025-05-09-21:01:50,159907,361,1298005,0,0.9977,1.0,0.9989,1458273,22.801
2025-05-09-21:02:13,163224,150,1297276,0,0.9991,1.0,0.9995,1460650,22.881
2025-05-09-21:02:36,170744,174,1366280,0,0.999,1.0,0.9995,1537198,22.668
2025-05-09-21:03:00,168244,193,1372062,0,0.9989,1.0,0.9994,1540499,22.93
2025-05-09-21:03:23,162963,924,1316170,10,0.9944,0.9999,0.9971,1480067,23.048
2025-05-09-21:03:46,196752,256289,1482601,510,0.4343,0.9974,0.6051,1936152,23.209
2025-05-09-21:04:09,205663,79662,1774857,860,0.7208,0.9958,0.8363,2061042,22.859
2025-05-09-21:04:33,190861,35840,1835606,710,0.8419,0.9963,0.9126,2063017,22.891
2025-05-09-21:04:56,197898,25988,1736030,255,0.8839,0.9987,0.9378,1960171,22.88
2025-05-09-21:05:19,192997,16179,1841240,209,0.9227,0.9989,0.9593,2050625,22.82
2025-05-09-21:05:42,205778,11743,1860125,166,0.946,0.9992,0.9719,2077812,22.687
2025-05-09-21:06:05,225541,7330,1954621,67,0.9685,0.9997,0.9839,2187559,22.819
2025-05-09-21:06:28,188454,5097,1836297,42,0.9737,0.9998,0.9865,2029890,22.712
2025-05-09-21:06:51,199103,3217,1986397,43,0.9841,0.9998,0.9919,2188760,22.662
2025-05-09-21:07:14,205028,2867,1872932,63,0.9862,0.9997,0.9929,2080890,22.672
2025-05-09-21:07:37,200273,1316,1894916,12,0.9935,0.9999,0.9967,2096517,22.857
2025-05-09-21:08:00,194455,1219,1855783,22,0.9938,0.9999,0.9968,2051479,22.841
2025-05-09-21:08:23,206199,2058,1881619,44,0.9901,0.9998,0.9949,2089920,22.806
2025-05-09-21:08:46,214863,1339,1805661,3,0.9938,1.0,0.9969,2021866,22.936
2025-05-09-21:09:09,201020,735,1852339,25,0.9964,0.9999,0.9981,2054119,22.809
2025-05-09-21:09:32,200759,768,1972301,23,0.9962,0.9999,0.998,2173851,22.759
2025-05-09-21:09:55,212140,673,1959433,15,0.9968,0.9999,0.9984,2172261,22.86
2025-05-09-21:10:19,207916,596,1833779,17,0.9971,0.9999,0.9985,2042308,22.829
2025-05-09-21:10:42,203931,538,1826500,10,0.9974,1.0,0.9987,2030979,22.968
2025-05-09-21:11:05,209838,408,1749740,14,0.9981,0.9999,0.999,1960000,22.805
2025-05-09-21:11:28,203471,526,1810506,27,0.9974,0.9999,0.9986,2014530,22.963
2025-05-09-21:11:51,186892,519,1807108,0,0.9972,1.0,0.9986,1994519,22.604
2025-05-09-21:12:14,199269,821,1838021,17,0.9959,0.9999,0.9979,2038128,22.869
2025-05-09-21:12:37,203314,425,1940828,1,0.9979,1.0,0.999,2144568,22.697
2025-05-09-21:13:00,212997,235,2023679,34,0.9989,0.9998,0.9994,2236945,23.018
2025-05-09-21:13:24,198953,357,1855499,13,0.9982,0.9999,0.9991,2054822,22.946
2025-05-09-21:13:47,205858,560,1848462,6,0.9973,1.0,0.9986,2054886,22.932
2025-05-09-21:14:10,198342,840,1761858,5,0.9958,1.0,0.9979,1961045,23.093
2025-05-09-21:14:33,212139,271,1857023,1,0.9987,1.0,0.9994,2069434,22.906
2025-05-09-21:14:57,226061,3411,1644635,190,0.9851,0.9992,0.9921,1874297,23.013
2025-05-09-21:15:20,263188,6212,1270712,27,0.9769,0.9999,0.9883,1540139,23.053
2025-05-09-21:15:43,274460,3469,1252216,115,0.9875,0.9996,0.9935,1530260,22.798
2025-05-09-21:16:06,250150,2803,1319224,52,0.9889,0.9998,0.9943,1572229,23.011
2025-05-09-21:16:29,260279,2466,1301106,64,0.9906,0.9998,0.9952,1563915,22.601
2025-05-09-21:16:53,271881,2230,1269928,85,0.9919,0.9997,0.9958,1544124,23.175
2025-05-09-21:17:16,273085,2211,1196625,70,0.992,0.9997,0.9958,1471991,22.961
2025-05-09-21:17:39,259414,1471,1307015,34,0.9944,0.9999,0.9971,1567934,22.761
2025-05-09-21:18:02,284599,2149,1387429,40,0.9925,0.9999,0.9962,1674217,22.976
2025-05-09-21:18:25,257401,1538,1240642,160,0.9941,0.9994,0.9967,1499741,22.969
2025-05-09-21:18:48,258893,1219,1325479,50,0.9953,0.9998,0.9976,1585641,22.94
2025-05-09-21:19:12,274583,1296,1259187,42,0.9953,0.9998,0.9976,1535108,22.88
2025-05-09-21:19:35,274884,1144,1262157,47,0.9959,0.9998,0.9978,1538232,22.751
2025-05-09-21:19:58,277107,1092,1307472,42,0.9961,0.9998,0.998,1585713,22.987
2025-05-09-21:20:21,265719,868,1147303,55,0.9967,0.9998,0.9983,1413945,22.999
2025-05-09-21:20:44,262182,1033,1320551,48,0.9961,0.9998,0.9979,1583814,22.8
2025-05-09-21:21:08,267608,844,1167813,51,0.9969,0.9998,0.9983,1436316,23.043
2025-05-09-21:21:31,267187,878,1280056,30,0.9967,0.9999,0.9983,1548151,22.994
2025-05-09-21:21:54,248447,871,1255305,48,0.9965,0.9998,0.9982,1504671,23.091
2025-05-09-21:22:17,258805,668,1137353,26,0.9974,0.9999,0.9987,1396852,22.87
2025-05-09-21:22:40,265333,795,1245566,125,0.997,0.9995,0.9983,1511819,22.791
2025-05-09-21:23:03,278111,506,1282924,39,0.9982,0.9999,0.999,1561580,22.736
2025-05-09-21:23:27,257675,650,1332787,31,0.9975,0.9999,0.9987,1591143,23.098
2025-05-09-21:23:50,269349,529,1369624,26,0.998,0.9999,0.999,1639528,22.989
2025-05-09-21:24:13,263243,642,1284949,30,0.9976,0.9999,0.9987,1548864,22.865
2025-05-09-21:24:36,279962,620,1247239,39,0.9978,0.9999,0.9988,1527860,22.999
2025-05-09-21:25:00,264786,724,1370636,47,0.9973,0.9998,0.9985,1636193,23.067
2025-05-09-21:25:23,290311,527,1367532,46,0.9982,0.9998,0.999,1658416,22.718
2025-05-09-21:25:46,264298,700,1222104,45,0.9974,0.9998,0.9986,1487147,22.861
2025-05-09-21:26:09,276921,605,1252259,45,0.9978,0.9998,0.9988,1529830,22.825
2025-05-09-21:26:32,271302,514,1274602,20,0.9981,0.9999,0.999,1546438,22.738
2025-05-09-21:26:55,267558,3010,1299837,44,0.9889,0.9998,0.9943,1570449,22.876
2025-05-09-21:27:18,252047,647,1317340,124,0.9974,0.9995,0.9985,1570158,23.04
