date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-04-24-19:03:27,94607,1407772,2702132,9543,0.063,0.9084,0.1178,4214054,23.535
2025-04-24-19:03:50,92183,145160,4278901,608,0.3884,0.9934,0.5585,4516852,22.956
2025-04-24-19:04:14,86789,60047,3921222,679,0.5911,0.9922,0.7408,4068737,23.088
2025-04-24-19:04:37,102707,27431,4118728,222,0.7892,0.9978,0.8814,4249088,23.357
2025-04-24-19:05:01,97930,13279,3857103,94,0.8806,0.999,0.9361,3968406,23.066
2025-04-24-19:05:24,97614,6021,3839627,26,0.9419,0.9997,0.97,3943288,23.119
