file_name,accuracy,tn,fp,fn,tp,precision,recall,f1,annot_fg,annot_bg,area_true,area_pred,area_error,seg_time,model_name,annot_duration_s,clicks
1920280_M-26A_Density Log Scan_Color_001.jpg,0.9934441012872386,494012,168,3118,3930,0.95900439238653,0.5576049943246311,0.7051857168490937,3242,769,7048,4098,-2950,1747404388.0,000047_1747403780.pkl,714.7675683498383,135
|1930330 Dual Prop, Resistivity, Gamma Ray Log Scan_000.jpg|,0.9988864610471468,414228,477,0,13659,0.9662563667232598,1.0,0.9828386400431732,0,907,13659,14136,477,1747407380.0,000051_1747405273.pkl,0,0
|1920270 Density, Porosity, Resistivity, Gamma Ray Log Scan B&W_001.jpg|,0.9958780192982579,406135,1470,293,19809,0.9309178062878894,0.9854243358869764,0.9573959063338247,339,9870,20102,21279,1177,1747407792.0,000051_1747405273.pkl,0,0
T19980 LDL_01AUG10_001.jpg,1.0,722647,0,0,2403,1.0,1.0,1.0,0,0,2403,2403,0,1747408866.0,000051_1747405273.pkl,16.140342950820923,0
1780180 PRUDHOE BAY UNIT 04-12 TEMP LOG_004.jpg,0.9593626610118364,411568,16733,1319,14602,0.46599648954842826,0.9171534451353558,0.6179955984425257,1443,256833,15921,31335,15414,1747408876.0,000051_1747405273.pkl,465.71354699134827,82
|1921440 Dual Prop, Resistivity, Gamma Ray Log Scan_003.jpg|,0.9938769744323915,401285,1440,1139,17333,0.9232940925797688,0.9383391078388913,0.9307558061484763,1242,8725,18472,18773,301,1747409471.0,000052_1747409113.pkl,0,0
1920280_M-26A_Density-Neutron Log Scan_Color_000.jpg,1.0,392751,0,0,11097,1.0,1.0,1.0,0,0,11097,11097,0,1747410078.0,000054_1747409655.pkl,12.033058166503906,0
CD3-130PB1 VISION Resistivity 5MD Recorded Mode Log_004.jpg,1.0,745554,0,0,48327,1.0,1.0,1.0,0,0,48327,48327,0,1747410089.0,000054_1747409655.pkl,11.263425827026367,0
1860310 Gamma Ray Log Scan 4_002.jpg,1.0,506140,0,0,50,1.0,1.0,1.0,0,0,50,50,0,1747410097.0,000054_1747409655.pkl,5.050790071487427,0
1890990 Resistivity-Gamma-Directional Survey Log Scan_000.jpg,0.9999696986648765,420558,13,0,8453,0.9984644460193716,1.0,0.9992316330752409,0,24,8453,8466,13,1747410105.0,000054_1747409655.pkl,17.13320827484131,1
